EXP;PROJECT;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2
3;apache_kafka_measures;40C3;129.0622760772705;48.6027670211828;0.1619502544403076;0.011800916157544365;3331.5770399305557;3802.26425630315;6.205975320677069;-15.478607869720483
4;apache_kafka_measures;1C3;178.94860677719117;81.66648397669078;0.1650548458099365;0.009825145687521202;2309.6616048177084;2742.1423982293;4.813190547523232;-3.7096007021258863
4;apache_kafka_measures;5C3;180.78427629470826;74.78302273164118;0.15591511726379395;0.006027382358464498;2868.867866847826;3269.898124207876;5.802455588612152;-3.7240988501657517
4;apache_kafka_measures;10C3;162.03037571907043;67.59862455808252;0.15991296768188476;0.007485743353724397;2718.824779211957;3074.055202372447;5.52397629135621;-4.27182540371593
4;apache_kafka_measures;20C3;160.3060700893402;64.88741178864618;0.15988564491271973;0.010190700613373462;2942.474255952381;3538.115687245522;5.676239598244235;-2.290860411121778
4;apache_kafka_measures;40C3;135.38585209846497;56.104223060044305;0.15482139587402344;0.016589192233209496;3575.0006944444444;4039.1738041084377;6.394346026871725;-26.770929411700866
5;apache_kafka_measures;1C3;183.46074295043945;80.86444883749057;0.1624152660369873;0.010548808902012763;3259.101025390625;3788.7950690276803;7.055924734818848;-5.4044997383034055
5;apache_kafka_measures;5C3;180.62630395889283;73.79248751448232;0.15257954597473145;0.008189401870408161;2691.2523607336957;3232.9608518053983;5.49104828902993;-11.609967031943878
5;apache_kafka_measures;10C3;164.44032440185546;73.0401826047879;0.18150534629821777;0.03259373911038598;3478.38828125;3895.0781346255667;7.027771495730344;-9.747407057656488
5;apache_kafka_measures;20C3;153.04310975074767;69.50668165291033;0.15379624366760253;0.010058197968321565;2429.3396949404764;2991.643664856076;4.732251137438104;-2.1559962058549997
5;apache_kafka_measures;40C3;125.11264691352844;49.213507978035175;0.15455970764160157;0.011756836280582553;3820.967925347222;4264.4307816691635;7.05474326933948;-22.482112507818705
