Dataset;Algoritm;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROCAUCscore
junit4;MLP;4;model1;ADA;0.9568092895;0.9535333979;0.7289719626;0.965798877;0.8473854198
junit4;DT;4;model1;ADA;0.9632277564;0.9617618587;0.7196261682;0.9749872384;0.8473067033
junit4;LogistRegression;4;model1;ROS;0.9035959724;0.876089061;0.8130841121;0.8795303726;0.8463072424
junit4;MLP;4;model1;ROS;0.9597164567;0.9574056147;0.7196261682;0.9703930577;0.845009613
junit4;LogistRegression;4;model1;NONE;0.8983392491;0.8683446273;0.8037383178;0.8718734048;0.8378058613
junit4;DT;4;model1;ROS;0.9662663111;0.9661181026;0.6822429907;0.9816232772;0.8319331339
junit4;RandomForest;4;model1;ROS;0.9709938312;0.9719264279;0.6635514019;0.9887697805;0.8261605912
junit4;MLP;4;model1;NONE;0.9663131723;0.968054211;0.5887850467;0.9887697805;0.7887774136
junit4;DT;4;model1;NONE;0.9608016147;0.9627299129;0.5420560748;0.9857069934;0.7638815341
junit4;RandomForest;4;model1;NONE;0.9556618659;0.96321394;0.3457943925;0.9969372129;0.6713658027
commons-io;RandomForest;4;model1;ADA;0.9688635744;0.9691473838;0.8412698413;0.9852164731;0.9132431572
commons-io;RandomForest;4;model1;SMOTE;0.9689357523;0.9692516156;0.8394024276;0.9855684618;0.9124854447
commons-io;RandomForest;4;model1;ROS;0.969926332;0.9705023973;0.8253968254;0.9887363604;0.9070665929
commons-io;DT;4;model1;SMOTE;0.9361240034;0.933083177;0.8188608777;0.9474363487;0.8831486132
commons-io;MLP;4;model1;ROS;0.9480773064;0.9473629352;0.7964519141;0.9663264109;0.8813891625
commons-io;DT;4;model1;ADA;0.9393121467;0.9373566813;0.7973856209;0.9549454417;0.8761655313
commons-io;MLP;4;model1;ADA;0.9462958776;0.945799458;0.7787114846;0.9667957292;0.8727536069
commons-io;MLP;4;model1;SMOTE;0.9479477065;0.9478840942;0.7693744164;0.9703156166;0.8698450165
commons-io;RandomForest;4;model1;NONE;0.9611282684;0.9631019387;0.7273576097;0.9927255661;0.8600415879
commons-io;DT;4;model1;NONE;0.9471042723;0.9476756306;0.741363212;0.9736008448;0.8574820284
commons-io;DT;4;model1;ROS;0.9474877724;0.9483010215;0.7338935574;0.9752434589;0.8545685081
commons-io;MLP;4;model1;NONE;0.9456086263;0.9478840942;0.6769374416;0.9819312449;0.8294343433
commons-io;LogistRegression;4;model1;ROS;0.8088532349;0.7706900146;0.7740429505;0.7702686847;0.7721558176
commons-io;LogistRegression;4;model1;SMOTE;0.8099953289;0.7723577236;0.7675070028;0.772967265;0.7702371339
commons-io;LogistRegression;4;model1;NONE;0.8036369501;0.7637064832;0.7777777778;0.7619382846;0.7698580312
commons-io;LogistRegression;4;model1;ADA;0.8009373587;0.7601626016;0.776844071;0.7580664085;0.7674552398
commons-bcel;LogistRegression;4;model1;ROS;0.9353483741;0.9136442142;0.9230769231;0.9133154602;0.9181961917
commons-bcel;LogistRegression;4;model1;ADA;0.9384871232;0.9188255613;0.8974358974;0.9195710456;0.9085034715
commons-bcel;MLP;4;model1;SMOTE;0.9796918839;0.9784110535;0.8205128205;0.9839142091;0.9022135148
commons-bcel;DT;4;model1;SMOTE;0.9782812565;0.9766839378;0.8205128205;0.982126899;0.9013198598
commons-bcel;MLP;4;model1;ROS;0.9775840287;0.97582038;0.8205128205;0.981233244;0.9008730322
commons-bcel;LogistRegression;4;model1;SMOTE;0.9366244227;0.9162348877;0.8717948718;0.9177837355;0.8947893036
commons-bcel;LogistRegression;4;model1;NONE;0.9305658762;0.9067357513;0.8717948718;0.9079535299;0.8898742009
commons-bcel;MLP;4;model1;ADA;0.9780672346;0.9766839378;0.7948717949;0.9830205541;0.8889461745
commons-bcel;RandomForest;4;model1;SMOTE;0.984258371;0.9844559585;0.7435897436;0.9928507596;0.8682202516
commons-bcel;RandomForest;4;model1;ADA;0.9834895219;0.9835924007;0.7435897436;0.9919571046;0.8677734241
commons-bcel;MLP;4;model1;NONE;0.9804926509;0.9801381693;0.7435897436;0.9883824844;0.865986114
commons-bcel;RandomForest;4;model1;ROS;0.9848331227;0.9853195164;0.7179487179;0.9946380697;0.8562933938
commons-bcel;DT;4;model1;ROS;0.981514729;0.981865285;0.6923076923;0.9919571046;0.8421323984
commons-bcel;DT;4;model1;NONE;0.9792746114;0.9792746114;0.6923076923;0.9892761394;0.8407919159
commons-bcel;DT;4;model1;ADA;0.9729190628;0.9715025907;0.6923076923;0.981233244;0.8367704681
commons-bcel;RandomForest;4;model1;NONE;0.9876835396;0.9887737478;0.6666666667;1;0.8333333333
